Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11611,Imagine: My Restaurant,DS,2009.0,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08
5788,Kingdoms of Amalur: Reckoning,PC,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.04,0.31
14464,Renai Revenge,PSV,2015.0,Adventure,Others,0.0,0.0,0.03,0.0,0.03
13372,Ride to Hell,PS3,2013.0,Racing,Others,0.02,0.02,0.0,0.01,0.05
11148,RollerCoaster Tycoon 3: Platinum,PC,2005.0,Strategy,Atari,0.01,0.06,0.0,0.01,0.09
5859,Cart World Series,PS,1997.0,Racing,Sony Computer Entertainment,0.17,0.11,0.0,0.02,0.3
6347,Shadow Man,N64,1999.0,Action,Others,0.18,0.08,0.0,0.01,0.27
8976,MotoGP 2: Ultimate Racing Technology,PS2,2001.0,Racing,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15
11074,Ski and Shoot,Wii,2008.0,Sports,Others,0.04,0.04,0.0,0.01,0.09
8375,World Destruction League: Thunder Tanks,PS,2000.0,Action,Others,0.09,0.06,0.0,0.01,0.17
14947,BeatMania IIDX 11: IIDX Red,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
10101,Zangeki no Reginleiv,Wii,2010.0,Action,Nintendo,0.0,0.0,0.11,0.0,0.11
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
13690,Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,2007.0,Racing,Others,0.03,0.0,0.0,0.0,0.04
4757,NBA 2K9,PS2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41
13068,Thunder Force V: Perfect System,PS,1998.0,Shooter,Others,0.03,0.02,0.0,0.0,0.05
9002,QuickSpot,DS,2006.0,Misc,Namco Bandai Games,0.02,0.0,0.13,0.0,0.14
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
10485,Momotarou Dentetsu 16,Wii,2007.0,Misc,Others,0.0,0.0,0.1,0.0,0.1
16425,Railfan,PS3,2006.0,Simulation,Others,0.0,0.0,0.01,0.0,0.01
15565,Barbie as the Princess and the Pauper,GBA,2004.0,Adventure,Others,0.01,0.0,0.0,0.0,0.02
12442,Terraria,PS4,2014.0,Action,505 Games,0.0,0.05,0.01,0.01,0.06
7504,Enchanted Arms,PS3,2007.0,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02,0.2
11307,Dead or Alive 5,XOne,2015.0,Fighting,Tecmo Koei,0.04,0.03,0.01,0.01,0.08
16404,Memories Off,PSP,2008.0,Adventure,Others,0.0,0.0,0.01,0.0,0.01
14517,Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007.0,Strategy,Others,0.0,0.0,0.03,0.0,0.03
9936,Turok: Evolution,GBA,2002.0,Shooter,Others,0.08,0.03,0.0,0.0,0.12
12899,Samurai Deeper Kyo,PS,2002.0,Fighting,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
10515,Samurai Warriors Chronicles 2nd,3DS,2012.0,Action,Others,0.0,0.0,0.1,0.0,0.1
5384,Frostbite,2600,1983.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
2682,Maximo: Ghosts to Glory,PS2,2001.0,Platform,Capcom,0.38,0.29,0.0,0.1,0.77
11186,Derby Stallion,SAT,1999.0,Sports,Others,0.0,0.0,0.09,0.0,0.09
9701,NASCAR 2005: Chase for the Cup,GC,2004.0,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12
4965,Junior Classic Games,DS,2009.0,Misc,Others,0.26,0.09,0.0,0.03,0.39
292,Forza Motorsport 2,X360,2007.0,Racing,Others,2.35,1.28,0.03,0.41,4.06
3888,100 All-Time Favorites,DS,2009.0,Puzzle,Ubisoft,0.35,0.12,0.0,0.04,0.51
13837,Dreamfall: The Longest Journey,XB,2006.0,Adventure,Others,0.03,0.01,0.0,0.0,0.04
14254,FIFA World Cup: Germany 2006,GBA,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03
11463,Jimmie Johnson's Anything With an Engine,Wii,2011.0,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.01,0.08
16377,Cross Edge Dash,X360,2009.0,Role-Playing,Others,0.0,0.0,0.01,0.0,0.01
12011,Anubis II,Wii,2007.0,Platform,Others,0.06,0.0,0.0,0.0,0.07
5081,Harry Potter and the Prisoner of Azkaban,GC,2004.0,Action,Electronic Arts,0.29,0.08,0.0,0.01,0.38
8524,N2O: Nitrous Oxide,PS,1998.0,Racing,Others,0.09,0.06,0.0,0.01,0.16
13597,LEGO Indiana Jones: The Original Adventures,PC,2008.0,Action,Others,0.02,0.02,0.0,0.01,0.04
197,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11
2460,NBA 2K10,PS3,2009.0,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84
14424,Codename: Panzers Cold War,PC,2009.0,Strategy,Atari,0.0,0.02,0.0,0.01,0.03
9099,Xevious 3D/G+,PS,1997.0,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14
15391,Uta no * Prince-Sama,PSP,2010.0,Adventure,Others,0.0,0.0,0.02,0.0,0.02
10401,Yuusha no Kuse ni Namaikida Or 3D,PSP,2010.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11
15555,11eyes: CrossOver,PSP,2010.0,Adventure,Others,0.0,0.0,0.02,0.0,0.02
11026,Hello Kitty's Cube Frenzy,PS,1998.0,Puzzle,Others,0.05,0.03,0.0,0.01,0.09
5341,Rugrats: Royal Ransom,PS2,2002.0,Platform,THQ,0.17,0.13,0.0,0.04,0.35
2487,Lizzie McGuire 2: Lizzie Diaries,GBA,2004.0,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83
7070,World Series of Poker 2008: Battle for the Bracelets,PS2,2007.0,Misc,Activision,0.11,0.09,0.0,0.03,0.23
9041,Asphalt: Urban GT 2,DS,2006.0,Racing,Ubisoft,0.09,0.04,0.0,0.01,0.14
8743,Blinx 2: Masters of Time & Space,XB,2004.0,Platform,Others,0.12,0.03,0.0,0.01,0.15
14149,Wangan Midnight,PS3,2007.0,Racing,Others,0.0,0.0,0.03,0.0,0.03
13946,DuckTales: Remastered,X360,2013.0,Action,Capcom,0.03,0.0,0.0,0.0,0.04
9472,Lovely Lisa and Friends,DS,2010.0,Simulation,Others,0.12,0.0,0.0,0.01,0.13
1036,The Elder Scrolls Online,PS4,2015.0,Role-Playing,Others,0.66,0.78,0.0,0.28,1.72
4151,NBA Live 99,N64,1998.0,Sports,Electronic Arts,0.45,0.02,0.0,0.0,0.47
6484,Michael Jackson: The Experience,DS,2010.0,Misc,Ubisoft,0.22,0.03,0.0,0.02,0.26
14803,Battlezone,PSP,2006.0,Shooter,Atari,0.02,0.0,0.0,0.0,0.03
10678,Alvin and the Chipmunks: Chipwrecked,Wii,2011.0,Misc,505 Games,0.08,0.01,0.0,0.01,0.1
2716,Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76
9969,Hyperdimension Neptunia Re;Birth 3,PSV,2014.0,Action,Others,0.07,0.01,0.0,0.03,0.12
13612,BeatMania IIDX 16: Empress + Premium Best,PS2,2009.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
5901,Army Men: Air Attack 2,PS,2000.0,Action,Others,0.17,0.11,0.0,0.02,0.3
16530,Hoshizora no Comic Garden,DS,2008.0,Adventure,Others,0.0,0.0,0.01,0.0,0.01
7656,Grandia II,Others,2000.0,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2
4838,MLB 2006,PS2,2005.0,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4
13590,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,2013.0,Simulation,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
6251,Myst III: Exile,PS2,2002.0,Adventure,Ubisoft,0.14,0.11,0.0,0.04,0.28
13435,Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011.0,Misc,Capcom,0.0,0.0,0.05,0.0,0.05
13157,Guild 01,3DS,2012.0,Action,Others,0.0,0.0,0.05,0.0,0.05
13468,Cheer We Go!,DS,2010.0,Misc,Others,0.04,0.0,0.0,0.0,0.04
1699,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19
2680,Twisted Metal: Head On,PSP,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77
14773,Brothers Conflict: Passion Pink,PSP,2012.0,Action,Others,0.0,0.0,0.03,0.0,0.03
10443,Taiko no Tatsujin: V Version,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.04
11937,Operation Darkness,X360,2007.0,Role-Playing,Others,0.07,0.0,0.0,0.0,0.07
12178,R-Type Command,PSP,2007.0,Strategy,Others,0.05,0.0,0.01,0.01,0.07
6194,Mega Man 7,SNES,1995.0,Platform,Others,0.03,0.01,0.23,0.01,0.28
4504,Flight Control Rocket,GBA,2005.0,Simulation,THQ,0.31,0.12,0.0,0.01,0.43
1037,Call of Duty: World at War Final Fronts,PS2,2008.0,Shooter,Activision,0.61,0.18,0.0,0.94,1.72
13653,Digimon Rumble Arena 2,GC,2004.0,Fighting,Atari,0.03,0.01,0.0,0.0,0.04
14416,Harry Potter and the Half-Blood Prince,PC,2009.0,Action,Electronic Arts,0.0,0.03,0.0,0.01,0.03
16392,WSC REAL 09: World Snooker Championship,X360,2009.0,Sports,Others,0.0,0.01,0.0,0.0,0.01
3645,The Activision Decathlon,2600,1982.0,Sports,Activision,0.52,0.03,0.0,0.01,0.55
9756,WRC 5: FIA World Rally Championship,PS3,2015.0,Sports,Others,0.02,0.09,0.0,0.02,0.12
4117,Harvest Moon 64,N64,1999.0,Simulation,Others,0.25,0.06,0.11,0.06,0.48
3186,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63
2931,Book of Spells,PS3,2012.0,Action,Sony Computer Entertainment,0.13,0.4,0.0,0.16,0.7
3828,GT Pro Series,Wii,2006.0,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52
2616,Dragon Quest Monsters 2,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79
13250,Rock 'N Roll Racing,GBA,2003.0,Racing,Activision,0.03,0.01,0.0,0.0,0.05
5957,Just Dance Kids 2,Wii,2011.0,Misc,Ubisoft,0.28,0.0,0.0,0.02,0.29
12866,Learn Science,DS,2010.0,Misc,Others,0.05,0.0,0.0,0.0,0.05
2273,MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92
2422,MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86
12073,Divinity: Original Sin,XOne,2015.0,Role-Playing,Others,0.04,0.02,0.0,0.01,0.07
7311,Ride,PS4,2015.0,Racing,Others,0.03,0.13,0.03,0.03,0.22
3973,Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.34,0.12,0.0,0.04,0.5
7923,Arcania: Gothic 4,PC,2010.0,Role-Playing,Others,0.09,0.08,0.0,0.02,0.19
11322,Sports Collection,DS,2010.0,Sports,Ubisoft,0.06,0.01,0.0,0.01,0.08
13317,Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998.0,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05
5819,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994.0,Fighting,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31
1490,The LEGO Movie Videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
7939,Bolt,PS3,2008.0,Adventure,Disney Interactive Studios,0.12,0.05,0.0,0.02,0.19
6302,Gunship,PS,1996.0,Simulation,Others,0.15,0.1,0.0,0.02,0.27
11120,NFL Blitz 20-02,GC,2002.0,Sports,Midway Games,0.07,0.02,0.0,0.0,0.09
6158,Yu-Gi-Oh! World Championship 2008,DS,2007.0,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28
9689,Strikers 1945,PS,1998.0,Shooter,Others,0.07,0.05,0.0,0.01,0.12
13322,Snoopy vs the Red Baron,PSP,2006.0,Adventure,Namco Bandai Games,0.04,0.0,0.0,0.0,0.05
4917,Metal Gear Solid: The Legacy Collection,PS3,2013.0,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.05,0.39
9544,7 Wonders of the Ancient World,DS,2007.0,Puzzle,Others,0.1,0.01,0.0,0.01,0.13
15294,Stormrise,PC,2009.0,Strategy,Sega,0.0,0.02,0.0,0.0,0.02
6833,Rock Band Track Pack Volume 1,Wii,2008.0,Misc,Others,0.17,0.05,0.0,0.02,0.24
6538,The Amazing Spider-Man 2 (2014),X360,2014.0,Action,Activision,0.1,0.14,0.0,0.02,0.26
6464,NCAA Gamebreaker,PS,1996.0,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26
2086,The Simpsons: Hit & Run,GC,2003.0,Racing,Others,0.77,0.2,0.0,0.03,0.99
2679,LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77
8488,ESPN College Hoops,PS2,2003.0,Sports,Sega,0.08,0.06,0.0,0.02,0.16
11749,Winter Sports 2: The Next Challenge,X360,2008.0,Sports,Others,0.06,0.01,0.0,0.01,0.07
1652,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
8439,Mousetrap / Operation / Simon,GBA,2005.0,Misc,Others,0.12,0.04,0.0,0.0,0.17
3591,WWE Raw 2,XB,2003.0,Fighting,THQ,0.43,0.11,0.0,0.02,0.56
10056,Growlanser Generations,PS2,2003.0,Role-Playing,Others,0.06,0.04,0.0,0.01,0.11
16556,Bound By Flame,X360,2014.0,Role-Playing,Others,0.0,0.01,0.0,0.0,0.01
13654,Doki Doki! PreCure Narikiri Life!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
8532,SD Gundam G Generation 3D,3DS,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
16364,Act of Aggression,PC,2015.0,Strategy,Others,0.0,0.01,0.0,0.0,0.01
6603,Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,0.21,0.0,0.02,0.02,0.26
7704,Conan,X360,2007.0,Action,THQ,0.16,0.02,0.0,0.02,0.2
1089,Knack,PS4,2013.0,Platform,Others,0.43,0.67,0.42,0.15,1.67
6922,Guitar Hero Live,X360,2015.0,Misc,Activision,0.12,0.1,0.0,0.02,0.24
6705,Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006.0,Role-Playing,Nintendo,0.0,0.01,0.24,0.0,0.25
15872,Elven Legacy,PC,2009.0,Strategy,Others,0.01,0.0,0.0,0.0,0.02
15843,Battle Spirits: Hero's Soul,PSP,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
3579,Knockout Kings 2001,PS2,2001.0,Fighting,Electronic Arts,0.28,0.21,0.0,0.07,0.56
12196,Armored Core: Nine Breaker,PS2,2004.0,Simulation,505 Games,0.03,0.03,0.0,0.01,0.07
2310,Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
12639,Quiz! Hexagon II,DS,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
10875,Scaler,PS2,2004.0,Platform,Take-Two Interactive,0.05,0.04,0.0,0.01,0.09
567,Guitar Hero: World Tour,X360,2008.0,Misc,Activision,1.78,0.64,0.0,0.25,2.67
15859,Storm Lover 2nd,PSP,2013.0,Misc,Others,0.0,0.0,0.02,0.0,0.02
4050,Medal of Honor,PC,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
16075,Sousaku Alice to Oujisama!,3DS,2015.0,Simulation,Others,0.0,0.0,0.01,0.0,0.01
7152,Reactor,2600,1981.0,Action,Others,0.21,0.01,0.0,0.0,0.22
5135,Pac-Man World 2,GC,2002.0,Action,Nintendo,0.28,0.07,0.0,0.01,0.37
15528,Teenage Mutant Ninja Turtles Double Pack,GBA,2006.0,Action,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02
11602,The Golf Club,PS4,2014.0,Sports,Unknown,0.05,0.02,0.0,0.01,0.08
11094,The $1 Pyramid,Wii,2011.0,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.09
4461,Petz: Horsez 2,DS,2007.0,Simulation,Ubisoft,0.41,0.0,0.0,0.03,0.44
12518,Worms Blast,GC,2002.0,Puzzle,Ubisoft,0.05,0.01,0.0,0.0,0.06
10773,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013.0,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1
8250,The King of Fighters '97,PS,1998.0,Fighting,Others,0.0,0.0,0.16,0.01,0.17
979,Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78
12490,Odin Sphere: Leifthrasir,PS3,2016.0,Role-Playing,Others,0.01,0.02,0.03,0.01,0.06
9952,Power Pro Kun Pocket 14,DS,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
8270,Ice Age: Dawn of the Dinosaurs,PS2,2009.0,Action,Activision,0.08,0.07,0.0,0.02,0.17
2437,Street Fighter Alpha 2,PS,1996.0,Fighting,Others,0.14,0.09,0.57,0.06,0.85
7322,Pandemonium!,PS,1996.0,Platform,Others,0.12,0.08,0.0,0.01,0.21
9509,"Crouching Tiger, Hidden Dragon",PS2,2003.0,Action,Ubisoft,0.06,0.05,0.0,0.02,0.13
9075,Cake Mania 3,DS,2009.0,Simulation,Others,0.13,0.0,0.0,0.01,0.14
2548,Army Men: Sarge's Heroes,N64,1999.0,Action,Others,0.68,0.12,0.0,0.01,0.81
3806,Stuntman: Ignition,PS3,2007.0,Racing,THQ,0.17,0.26,0.0,0.1,0.53
6098,PGA Tour 97,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.0,0.02,0.29
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995.0,Role-Playing,Others,0.0,0.0,3.19,0.0,3.19
11761,Famicom Mini: Hikari Shinwa: Palutena no Kagami,GBA,2004.0,Platform,Nintendo,0.0,0.0,0.07,0.0,0.07
13351,Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
4290,Bloody Roar II,PS,1999.0,Fighting,Others,0.25,0.17,0.0,0.03,0.46
10010,Dead Man's Hand,XB,2004.0,Shooter,Atari,0.09,0.02,0.0,0.0,0.11
8311,Macross Ultimate Frontier,PSP,2009.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17
12426,Winx Club: Quest for the Codex,DS,2006.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
6760,Major League Baseball 2K7,PS3,2007.0,Sports,Others,0.23,0.0,0.0,0.02,0.25
8800,The Fairly Odd Parents: Clash with the Anti-World,GBA,2005.0,Adventure,THQ,0.11,0.04,0.0,0.0,0.15
10441,Vexx,XB,2003.0,Platform,Others,0.08,0.02,0.0,0.0,0.1
1123,Kinectimals,X360,2010.0,Simulation,Others,1.02,0.48,0.0,0.14,1.64
10680,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",Others,2000.0,Adventure,Sega,0.0,0.0,0.1,0.0,0.1
9507,Ape Escape 3,PS2,2005.0,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
10170,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011.0,Adventure,THQ,0.0,0.0,0.11,0.0,0.11
1946,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06
12173,Dreamer Series: Pop Star,DS,2009.0,Misc,Others,0.04,0.02,0.0,0.01,0.07
9782,Shin Megami Tensei: Devil Survivor 2,3DS,2015.0,Role-Playing,Others,0.0,0.03,0.09,0.0,0.12
13386,Monster Jam: Maximum Destruction,GC,2002.0,Racing,Ubisoft,0.04,0.01,0.0,0.0,0.05
731,Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,1.03,0.98,0.0,0.21,2.22
5811,Monsters vs. Aliens,PS3,2009.0,Action,Activision,0.21,0.06,0.0,0.03,0.31
1855,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1
15762,Puzzle Chronicles,DS,2010.0,Puzzle,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.02
8025,NARC,XB,2005.0,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18
10214,The Croods: Prehistoric Party!,Wii,2013.0,Misc,Others,0.03,0.07,0.0,0.01,0.11
6183,Sing Party,WiiU,2012.0,Misc,Nintendo,0.13,0.12,0.0,0.02,0.28
14411,Empire Earth II,PC,2005.0,Strategy,Others,0.0,0.03,0.0,0.0,0.03
13361,Full Spectrum Warrior: Ten Hammers,XB,2006.0,Strategy,THQ,0.03,0.01,0.0,0.0,0.05
10135,Home Run King,GC,2002.0,Sports,Sega,0.09,0.02,0.0,0.0,0.11
602,Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,1.7,0.59,0.21,0.07,2.56
9125,Naruto RPG 2: Chidori vs Rasengan,DS,2005.0,Role-Playing,Others,0.0,0.0,0.14,0.0,0.14
7466,X-Men: Children of the Atom,SAT,1995.0,Fighting,Others,0.0,0.0,0.21,0.0,0.21
886,X-Men Legends,PS2,2004.0,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93
6250,Power Pro Kun Pocket 3,GBA,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.01,0.28
8780,Get On Da Mic,PS2,2004.0,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,0.15
15368,Dance Dance Revolution Extra Mix,PS,2001.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
10498,Myst,DS,2007.0,Adventure,Midway Games,0.09,0.0,0.0,0.01,0.1
6205,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,Square Enix,0.0,0.0,0.28,0.0,0.28
5272,Nicktoons: Unite!,GC,2005.0,Adventure,THQ,0.27,0.07,0.0,0.01,0.35
12824,Kyoukai Senjou no Horizon Portable,PSP,2013.0,Adventure,Others,0.0,0.0,0.05,0.0,0.05
3782,Virtual Soccer,SNES,1993.0,Sports,Others,0.0,0.0,0.53,0.0,0.53
16339,Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008.0,Misc,Others,0.0,0.0,0.01,0.0,0.01
